diff,top_level_label
"-     return ans
+     return ans % MOD",expression
"- a.append(k)
+ a.append(k+a[0])",expression
"- 
+ ab.sort()",call
"- lst = []
+ lst = [""""]
- print(len(lst))
+ print(len(lst)-1)",expression
"- print(700 + int(s.count(o)))
+ print(700 + int(s.count(""o"")*100))",call
"- print(Yes if n==m else No)
+ print('Yes' if n==m else 'No')",call
+ n = n//2,assignment
"- print(r*pi)
+ print(r*pi*2)",expression
"+ 
- print(b - a + 1 if N % 2 == 1 else b - a + 1)
+ print((b - a) // 2 + 1 if N % 2 == 1 else b - a + 1)",call
"- print(cnt)
+ print(cnt//2)",expression
"-     s[i] = c
+     s[i] = '*'",assignment
"- np.sort(b)[::-1]
+ b = np.sort(b)[::-1]
+ ",assignment
"+ if c:
+   ac = False",control_flow
-   print(ans),call
"-         print(s)
+         #print(s)",call
"- for j in range(math.ceil(math.sqrt(x))):
+ for j in range(1, math.ceil(math.sqrt(x)) + 1):
-     for k in range(2,x):
+     for k in range(2,x + 2):",call
"-     print(x - t)
+     print(max(x - t, 0))",call
"- print(lis[inp%32])
+ print(lis[(inp-1) % 32])",call
"-     num *= num
+     num *= i
-         num *= num
+         num *= i",identifier
"- s=input.strip()
+ s=input().strip()
+ ",call
-     print(q),call
"- print(( a*b, 2*(a+b) ))
+ print(a*b, 2*(a+b))",call
"- print(b+c if a+b>=c-1 else a+2*b)
+ print(b+c if a+b>=c-1 else a+2*b+1)",expression
"-       break
- print(cnt)
+ print(cnt//2)",control_flow
"-         continue
+         d[b]=0
+ 
+     
+ ",assignment
"-             S = S[-h:] + S[:-h]
+             S = S[h:] + S[:h]",expression
- print(a),call
"- print(v)
+ #print(v)",call
- print(s),call
"- r=range(200)
+ r=range(-99,200)",call
- print(m),call
"- n,a,b=map(int,input().split)
+ n,a,b=map(int,input().split())",call
-     print(i),call
"-     if a+i % k == 0:
+     if (a+i) % k == 0:
-     print(""NG"")      
+     print(""NG"")       ",control_flow
"- print(ans)
+ print(ans+t)",expression
"- print(max[ans,counter])
+ print(max([ans,counter]))",call
"- A,B=map(int,input())
+ A,B=map(int,input().split())",call
- print(T),call
"- center = len(sorted_nums // 2)
+ center = len(sorted_nums) // 2",call
"- for i in range(1, N+1):
+ for i in range(1, N+1, 2):",call
"+ import math
- x = round(n/1.08)
+ x = math.ceil(n/1.08)",assignment
- print(s),call
"- print(700+input().count(""o""))
+ print(700+input().count(""o"")*100)",expression
"- print(A,B)",call
- print(times),call
+ print(coin),call
"- import math
- print(atan(2*b/a-x/a**3if x>a**2*b/2else a*b**2/2/x)/pi*180)
+ print(atan(2*(b/a-x/a**3)if x>a**2*b/2else a*b**2/2/x)/pi*180)",call
"- print(answer_dic)
+ #print(answer_dic)",call
-     print(m),call
+ num = [],assignment
"- R=int(input)
+ R=int(input())",call
"- #n, x  = map(int, input().split())
- #h = list(map(int, input().split()))
- #s = list(str(input()))
- max = int(n/4)
+ max = int(n/4) + 1",assignment
- print(cnt),call
"- print(m)
- ",call
"-     AL[i] = gcd(AL[i], A[i+1])
+     AL[i] = gcd(AL[i+1], A[i+1])",assignment
"-     print(ans[i])
+     print(ans[i]%mod)",expression
"- arr = [sorted([i, j]) for i, j in enumerate(a, 1)]
+ arr = [sorted([i, j]) for i, j in enumerate(a,1)]
+ arr = sorted(arr)
- ",assignment
"- print(':(' if x[-2]-[0] > x[-1] else 'Yay!')
+ print(':(' if x[-2]-x[0] > x[-1] else 'Yay!')",call
"- print(S+T)
+ print(T+S)",expression
"+     #print(""cur->"", cur_pos)
-         cur_pos = min_D[t]
+         cur_pos = min_D[t]+1
-         cur_pos = D[t][ind]
+         cur_pos = D[t][ind]+1
- print(len(S)*repeat+cur_pos+1)
+ print(len(S)*repeat+cur_pos)",expression
"-     ans += A[n//2]
+     ans += A[n//2+1]",expression
"- for i in range(3, x + 1, 2):
+ for i in range(3, x + 1):
- 		
+ ",call
"- hN = N // 2
- if S[:hN] == S[hN:N -1]:
-     print('Yes')
+     hN = N // 2
+     if S[:hN] == S[hN:N]:
+         print('Yes')
+     else:
-     print('No')
+         print('No')",expression
"- for i in range(len(A)-1):
+ for i in range(len(A)):
-     for j in range(len(B)-1):
+     for j in range(len(B)):
-         for k in range(len(C)-1):
+         for k in range(len(C)):",expression
"- answer = min(places.items(),key = lambda x:x[1])[0]
+ answer = min(places.items(),key = lambda x:x[1])[0] + 1",assignment
"-     print(s)
+     print(s ,end="""")",call
-     print(i),call
"- A = A + [K]
+ A = A + [K+A[0]]",assignment
"- if b>=a and Y%2==0:
+ if b>=a and Y%2==0 and X<=a:
-     ",control_flow
"- ans = a+b
+ ans = b+a",expression
"- elif ff == 0 or ff>12 and 0<ll<=12:
+ elif (ff == 0 or ff>12) and 0<ll<=12:
- elif 0<ff<=12 and ll>12 or ll== 0:
+ elif 0<ff<=12 and (ll>12 or ll== 0):",control_flow
"-     ans+=(y-x)*min(b,c)
+     ans+=(y-x)*min(b,2*c)
-     ans+=(x-y)*min(a,c)
+     ans+=(x-y)*min(a,2*c)",expression
- print(A),call
"- print(""Possible"" if a % 3 == 0 or b % 3 == 0 or a+b % 3 == 0 else ""Impossible"")
+ print(""Possible"" if a % 3 == 0 or b % 3 == 0 or (a+b) % 3 == 0 else ""Impossible"")",call
"- print(dp[x+1])
+ print(dp[x])",expression
"- s = list(map(int,input()))
+ s = list(map(int,input().split()))",call
"- 
+             break",control_flow
"- elif S==('RRS' or 'SRR'):
+ elif S=='RRS' or S=='SRR':",control_flow
"- print(numbers_list)
+ ",call
"+ import math
- ans = round((a*3 + p)/2)
+ ans = math.floor((a*3 + p)/2)",assignment
"- while((a>0) or (c>0)):
+ while((a>0) and (c>0)):
-     
-   ",control_flow
"-     A[i] -= q
+     A[i+1] -= q",expression
"-         for ca in itertools.combinations(CA, n):
+         for ca in itertools.combinations(CA, n+1):",expression
"-     print(((max(data) + 1 ) - sum(data)) // 2)
+     print(((max(data) + 1) * 3 - sum(data)) // 2)",expression
"- if cntA > 0 and cntB > 0:
+ if cntA > 0 and cntB > 0 and cntT > 0:",control_flow
"- print(N*3.1415)
+ print(N * 2 *  3.1415)",expression
"-         if k - (a-1) % 2 == 0:
+         if (k - (a-1)) % 2 == 0:",control_flow
- print(L),call
- print(llower),call
"- print(t)
+ # print(t)",call
"- ans=[]
+ ans=[0]
-     ans.append(s[:i].count(""I"")-s[:i].count(""D""))
+     ans.append(s[:i+1].count(""I"")-s[:i+1].count(""D""))",expression
+ A.sort(),call
"- print(max(Newlist))
+ print(K-max(Newlist))",expression
- print(en),call
+         break,control_flow
+         break,control_flow
"- a=int(input())
+ a = int(input())
- print(a+a*a)(a*a*a)
+ print(a+(a*a)+(a*a*a))",call
"- 
+  
- 
+  
- 
+  
-     if s[i] == ""?"" or s[i] == t[0] and not Has:
+     if (s[i] == ""?"" or s[i] == t[0]) and not Has:
- 
+  
- 
+  ",control_flow
"- j = int(input)
+ j = int(input())",call
- print(shi_map),call
"- print (a)
+ ",call
"-    print(str(i))
+   print(str(i+1))
-    pass
+   pass",expression
+ _=input(),assignment
"+     else:
+         break
+     else:
+         break",control_flow
"- print((a[0]+b[0]+[0]).upper())
+ print((a[0] + b[0] + c[0]).upper())",call
"-         print('2')
+         print(S[i])",call
"-     n = next.pop()
+     n = next.pop(0)
- 
- ",call
"-     for ls in range(LS - LT):
+     for ls in range(LS - LT + 1):
-             if S[ls + lt:ls + LT] != T[lt]:
+             if S[ls + lt] != T[lt]:",control_flow
"- if abs(ma - a[ind-1]) < abs(ma - a[ind]):
+ if abs(ma//2 - a[ind-1]) < abs(ma//2 - a[ind]):",control_flow
"- print(x/t)
+ print(float(t/x))",call
-     print(ansCandidate),call
"- lst = list(input())
+ lst = list(input().split())",call
"- print(math.ceil(N / (2 * D)))
+ print(math.ceil(N / (2 * D + 1)))",expression
+ X=abs(X),assignment
"- a.upper()
+ a = a.upper()
- b.upper()
+ b = b.upper()
- c.upper()
+ c = c.upper()",assignment
"+ 
+ 
+         break
+             break
+         ",control_flow
"+     break
- for i in range(len(a),0,-1):
+ for i in range(len(a)-1,0,-1):
+     break",control_flow
"- if N == 1:
+ if N == 1 or M == 1:",control_flow
"+         break
+         break",control_flow
"- print(S_list)
+ #print(S_list)",call
+ resolve(),call
"+ if N>=2:
- if 2 not in A:
+     if 2 not in A:
-     data[1]=1+data[0]
+         data[1]=1+data[0]",control_flow
"-                 ans = k - 1
+                 ans += k - 1",assignment
- print(a),call
"- print(n + k -1)
+ print(n - k + 1)",expression
"- h = S[A-1:D].count('##')
+ h = S[A-1:D+1].count('##')
- m3 = S[B-2:D].count('...')
+ m3 = S[B-2:D+1].count('...')",assignment
"- print(a+b+c-ans)
+ print(ans)",expression
"- for i in range(n-1):
+ for i in range(n):
-     if i%3!=0 and i%5!=0:
+     if i % 3 != 0 and i % 5 != 0:",expression
"-   print((n+1)/2)
+   print((n+1)/2/n)",expression
"- for i in range(n-1):
+ for i in range(n):",expression
"- a,b,c = map(int, input().split)
+ a,b,c = map(int, input().split())",call
"- print(abc,arc)
+ ",call
"- total = (X//500)*1000 + (X%500)//5*5
+ print((X//500)*1000 + (X%500)//5*5)",call
- print(z),call
"-         a.append(b[i] + B[i])
+         b.append(b[i] + B[i])",identifier
"-         print(weather[i + 1 % 3])
+         print(weather[(i + 1) % 3])",call
"-   print(n // 2)
+   print(n // 2 - 1)",expression
-       print(formula),call
"- l = [i for i in range(13)]
+ l = [i for i in range(1,13)]",call
- print(count),call
"- b = str(S[y:N])
+ b = str(S[y:N-1])",assignment
"-     M = ( N * (N + 1) % mod - (N - k) * (N + 1 - k) % mod ) // 2
+     M = ( N * (N + 1) - (N - k) * (N + 1 - k) ) // 2
-     m = k * (k - 1) // 2 % mod
+     m = k * (k - 1) // 2",expression
"-     cnt_e += 1
+     cnt_o += 1
-     cnt_o += 1
+     cnt_e += 1",identifier
"-     ans += L[0]//2 + L[-1]//2 + (L[0]+L[-1])*(K-1)
+     ans += L[0]//2 + L[-1]//2 + (L[0]+L[-1])//2*(K-1)",expression
"-         print(str(float(float((a/2)+1)/a)))
+         print(str(float(float(((a-1)/2)+1)/a)))",call
+ best_words = [],assignment
- print(H),call
"-     print(str(i), str(d[i]), str(f[i]))
+     print(str(i+1), str(d[i]), str(f[i]))",expression
"- print(diff_T.index(min(diff_T)))
+ print(diff_T.index(min(diff_T))+1)",expression
"-     elif s[len(s) - 7] == ""dreamer"":
+     elif s[len(s) - 7:] == ""dreamer"":",control_flow
"-             m.append(n%10)
+             m.append(n % 10)
-             x = (n % (10 ** (le - j + 1))) // (10 ** (le - j))
+             x = (n % (10 ** (le - j))) // (10 ** (le - j - 1))
-             m.append(n//(10**(le-1)))
+             m.append(n // (10 ** (le - 1)))",assignment
"- elif (int(s[:2]) >= 1 and int(s[:2]) <= 12) and ((int(s[:2]) >= 13 or int(s[:2]) == 0)):
+ elif (int(s[:2]) >= 1 and int(s[:2]) <= 12) and ((int(s[2:]) >= 13 or int(s[2:]) == 0)):",control_flow
- print(seikaisuu),call
"- a, x, b = input()
+ a, x, b = input().split()",call
"- H = 2*D
+ H = 2*D+1",assignment
"- temp1=abs(h[1]-h[0])
+ temp[1]=abs(h[1]-h[0])",assignment
"- if y > x * 2 and y < x:
+ if y > x * 2 or y < x:",control_flow
"-     if len(re.findall(x+'(.*)', y)) == 1:
+     if len(re.findall(x+'(.*)', y)[0]) == 1:",control_flow
"-     lendth += 1
+     length += 1",identifier
"- elif a==b or b==c:
+ elif a==b or b==c or a==c:",control_flow
"+ 
+ print(count)",call
"-     print(pattern)
+     #print(pattern)",call
"- print((k+1)//2*k//2)
+ print(((k+1)//2)*(k//2))",call
"+ if 1 in Knn:
- Knn.remove(1)
+     Knn.remove(1)",control_flow
"- N=int(input())
+ N = int(input())
- print((N-1)*(N-2) // 2)
+ 
+ print((N-1)*N // 2)",call
"- for j in range(101):
+ for j in range(-101,101):",call
"- print(H)
+ #print(H)",call
"+         break
+ ",control_flow
"- 	for i in s[:k-1]:
+ 	for i in s[:k]:",expression
"-   if 2**i <= n < 2**(i+1):
+   if 2**i<=n<2**(i+1):
-     print(i)
+     print(2**i)
+     exit()",call
"- print(int(((a+b)/2)+1))
+ print(int(((a+b+1)/2)))",expression
"-         print(int(hh - ll)*2 + 1)
+         print(int((hh - ll)*2) + 1)",call
"- l=list(range(2,int(n**0.5//1)))
+ l=list(range(2,int(n**0.5//1+1)))
- ans=10**9
+ ans=n-1",assignment
"- num = [len(set(s[:i]) & set(s[i:])for i in range(n))]
+ num = [len(set(s[:i]) & set(s[i:]))for i in range(n)]",call
"- a.append(k)
+ a.append(k+a[0])",expression
"- x = pow(10) - pow(9) * 2 + pow(8)
+ x = (pow(10) - pow(9) * 2 + pow(8)) % p
- ",assignment
- print(correct),call
- print(d),call
"- print(A)
+ #print(A)",call
+     d = b,assignment
+     i = i+1,assignment
"- if n >= 2*k:
+ if n - 1 >= 2*(k-1):",control_flow
"- for i in range((x-k+1), (x+k-1)):
+ for i in range((x-k+1), (x+k)):",expression
"-         dp[ind] = A[i]
+         dp[ind-1] = A[i]",assignment
"- print((a + b) // 2)
+ print((a + b + 1) // 2)",expression
"-   s = s[:k]
+   s = s[:k] + '...'",assignment
"- a = list(map(int(), input().split()))
+ a = list(map(int, input().split()))",call
"- print(ct+((H//am)+int(H%am!=0)) if H>0 else 0)
+ print(ct+(((H//am)+int(H%am!=0)) if H>0 else 0))",call
"- print('ATCG'['TAGC'.index()])
+ print('ATCG'['TAGC'.index(input())])",call
"-     return a // gcd(a,b)
+     return a // gcd(a,b) * b",expression
"+ count = 0
-   ",assignment
"- print((L[2]-L[1])+(L[1]-L[0])//2+2*(L[1]-L[0])%2)
+ print((L[2]-L[1])+(L[1]-L[0])//2+2*((L[1]-L[0])%2))
+ ",call
"-             p = D[t][0]
+             p = D[t][0] + 1
-             p = D[t][j]
+             p = D[t][j] + 1
-     print(res * len(S) + p + 1)
+     print(res * len(S) + p)",expression
"-     for j in range(i+1,n-1):
+     for j in range(i,n):
-         if i!=minj:
+     if i!=minj:
-             a[i],a[minj]=a[minj],a[i]
+         a[i],a[minj]=a[minj],a[i]
-             b+=1
+         b+=1",expression
- print(d),call
"- print(cumsum)
+ #print(cumsum)",call
"- n = int(input())
+ n = int(input()) % 10",assignment
"-     for i in range(A, B):
+     for i in range(A, B+1):
+         exit()",call
"- print(ans)
+ #print(ans)
+ 
+ ",call
"-     if i >> j == 1:
+     if i >> j & 1:",control_flow
"-   S.append(i)
+   S.append(i+1)",expression
- print(D),call
"- print(d)
+ ",call
"-             ATen = A
+             ATen += A
-             BTen = B
+             BTen += B",assignment
"- print(a.count(1))
+ print(a.count('1'))",call
"- x=int(X/100)
+ x=int(X/100)+1",assignment
"-   	print(IMPOSSIBLE)
+   	print('IMPOSSIBLE')",call
"-     print(l[i])
+     print(l[9-i])",expression
+ a.remove(N),call
"-     num_4, num_2, num_other = count[0], count[2] // 2, count[1] + count[3]
+     num_4, num_2, num_other = count[0], count[2], count[1] + count[3]",expression
"- for i in range(n):
+ for i in range(1,n):",call
"-     for i in range(1, n):
+     for i in range(n):",call
"-         ans = ""1"" + ans
+         ans = ans + ""1""",expression
+     l[n]=t,assignment
"- S, W = [int(s) for s in input.split()]
+ S, W = [int(s) for s in input().split()]",call
"+     else:
+         tmp = 0",assignment
- print(mozi),call
"-         a.append(input())
+         a.append(int(input()))
-         print(i)
+         print(a[i])",call
"+ lis3.sort()
+ ",call
+     break,control_flow
"- print(d)
+ print(a-d)",expression
"+ 
- for l in range (len(s)-1):
+ for l in range (len(s)):
+ 
-   for r in range(l+1, len(s)):
+   for r in range(l+1, len(s)+1):
+ 
+ 
+ 
+ 
-         cnt = 0
+         cnt = 0 
+ 
+ 
+ 
+ 
+ 
+ 
-         
+       
-         ",expression
"-     if t[i] not in dcnt:ok = False
+     if t[i] not in dcnt:
+         ok = False
+         break
-     if dcnt[t[i]] == 0:ok = False
+     if dcnt[t[i]] == 0:
+         ok = False
+         break",control_flow
"-     print(sm, ans)",call
"-     answer = (n - 2) / n
+     answer = (n + 1) / 2 / n",assignment
"-   print(dc[b] - dc[a-1])
+   print(dc[b] - dc[a])",expression
"- 
-         stock = money // a[i]
+         stock += money // a[i]",assignment
"- print(d)
+ # print(d)",call
- print(data),call
"+ 
+ print(ans)      ",call
"-       z[kk]+=li[k][kk]
+       z[kk]+=li[k][kk+1]",expression
"+         #print(""{} -> {}"".format(p, q))
- print(bfs(s, 3*t-2))
+ print(bfs(s*3 -2, 3*t-2))",expression
"-     a = ((n+k)//k)
+     a = ((n+k//2)//k)",assignment
"- if l[0][-1] == l[1][0] and l[1][-1] and l[2][0]:
+ if l[0][-1] == l[1][0] and l[1][-1] == l[2][0]:",control_flow
"-     if x<=b(n-1):return(solve(n-1,x-1))
+     if x-2<b(n-1):return(solve(n-1,x-1))",control_flow
"-     dp[3] = min(abs(H[3]-H[2]), abs(H[3]-H[1]))
+     dp[3] = min(abs(H[3]-H[2])+dp[2], abs(H[3]-H[1]))
-         ",assignment
"- 
- print(l)",call
"-     # dp[0]=1
-         dp[0][b % d] = 1
+         dp[0][b % d] += 1",assignment
"- print(a * 3.14159265358979)
+ print(a * 2 * 3.14159265358979)",expression
"- for i in range(1,N-1):
+ for i in range(1,N):",expression
"+  
- if S[2] == S[3] or S[4] == S[5]:
+ if S[2]==S[3] and S[4]==S[5]:",control_flow
"- n = int(input())
+ n=int(input())
- print(n**.5)
+ print(int(n**.5)**2)",call
"- print(ind - 1)
+ print(ind)",expression
+     exit(),call
- print(mid),call
"- li.sort
+ li.sort()",call
- print(c),call
"-       stkFen.append(eachngb)
+       stkSn.append(eachngb)
+ ",identifier
"- if k < len[way]:
+ if k < len(way):
-     print(way[k])
+     print(way[k] + 1)",control_flow
"- print(int(N/min(ts)) + 5)
+ print(int((N-1)/min(ts)) + 5)",call
"- print(A)
+   ",call
"- a,b,c=map(int,input.split())
+ a,b,c = map(int,input().split())
- print(b+min(a+b+1,c))
+ print(b + min(a+b+1,c))",call
"- 	if sorted_a[-m] > sum(a) // (4 * m):
+ 	if sorted_a[-m] > (sum(a) - 1) // (4 * m):",control_flow
- print(a),call
"- ans += max(x) ** k
+ ans += max(x) * 2 ** k",expression
"- print(ans)
+ print(ans-n)",expression
- print(max_A),call
"-     if flg[j]==flg[j+1]==flg[j+2]:
+     if flg[j] and flg[j+1] and flg[j+2]:",control_flow
"-     x=[0,t[0]]
+     x=[0,t[0]+k]",assignment
-   print(n),call
"- print(A//(2*B+1))
+ print((A+2*B)//(2*B+1))",call
"- abinput = ""3 3""",assignment
"- 
- print(a_list)",call
"- N,S=input().split()
+ S=input()
+ S=input()",call
"- if s==ABC:
+ if s==""ABC"":",control_flow
"-   d_sum += d
+   d_sum += d * c",expression
"-         dis = A[i+1]-A[i]
+         dis = A[i+1] - A[i]
+     
-     if (K-(se)) > mx:
+     if K-se > mx:
-     print(mx)
+     print(K - mx)",control_flow
"+ import math
+ 
- pop = int(sum_A / (4 * M))
+ pop = math.ceil(sum_A / (4 * M))
+ #https://note.nkmk.me/python-collections-counter/",assignment
"- print(s)
+ 
+ ",call
"- #buyList = [0 for  i in range(n)]
-             #buyList[j-1] = 1
-                 skilList[k] = skilList[k] + cList[j-1][k]
+                 skilList[k] = skilList[k] + cList[j-1][k+1]",assignment
"-     
+ 
+         exit()",call
"-     print(min(r)-max(l))
+     print(min(r)-max(l)+1)",expression
"-     for k in range(N):
+     for k in range(1,N+1):",call
"- S,T=map(input().split())
+ S,T=map(str,input().split())",call
"- if s is ""AAA"":
+ if s == ""AAA"":
- elif s is ""BBB"":
+ elif s == ""BBB"":",control_flow
"- print(ans)
+ print(ans*2)",expression
"- h, a = map(int, input.split())
+ h, a = map(int, input().split())",call
- print(b),call
"+         n -= 1
-         ans.append(chr(ord('a') + remain - 1))
+         ans.append(chr(ord('a') + remain))",expression
"-     print(z[k][0])
+     print(10**15-z[k][0])",expression
"- print(sum(A[1:N + 1]))
+ print(sum(A[1:N * 2 + 1:2]))",expression
"- print(dp)
+ # print(dp)",call
"- h_angle=30*h
+ h_angle=30*h+0.5*m",assignment
"- print(int((sum(dis_list)-max(dis_list))%20))
+ print(int((sum(dis_list)-max(dis_list))))",expression
-         print(i),call
"- print(sunuke)
+ #print(sunuke)",call
+ print(ans),call
"- 		for i in range(2,x):
+ 		for i in range(2,x+1):
+ 		
+ 	#if tmp==1:print(""・・"")
- print(att,p)
+ print(att)",call
"- T = range(M+1)
+ T = range(1,M+1)",call
"- s=list(input())
+ s=list(input())+['Z']",assignment
"- if S.count(7):
+ if S.count('7'):
-   print(""Yes"")
+     print(""Yes"")
-   print(""No"")
+     print(""No"")",control_flow
"- if k*2<=n:
+ if k*2<=n+n%2:",control_flow
"- if len(inputS):
+ if len(inputS) == 2:",control_flow
"- a, b, c = map(d.split())
+ a, b, c = map(int, d.split())
- 
- if (a < b) and (b < c):
+ if (a<b) and (b<c):",call
"- print(xy)
+ ",call
"-   inverse[i] = -inverse[i % mod] * (mod // i) % mod
+   inverse[i] = -inverse[mod % i] * (mod // i) % mod",expression
"- print(int(H*W-h*W-w))
+ print(int(H*W-h*W-H*w+h*w))",expression
"-   print(temp[i])
+   print(temp[i][0]+1)",expression
-         print(cnt),call
"+   else:
+     print(ans)",call
"-         print(i)
+         print(i+1)",expression
"+ 
- print(num_list)
+ ",call
"- elif front <= 12 and front == 0:
+ elif front <= 12 or front == 0:",control_flow
"+ else:
- s.pop(-1)
+   s.pop(-1)
- s.pop(-1)
+   s.pop(-1)
+     break",control_flow
"- 
+  
-             print(q)
- 
- 
+  
+  
- 
+  ",call
"- get = n // 15
+ get = (n // 15) * 200",assignment
"+         continue
+         continue
+         continue",control_flow
"- n = r+g+b
+ n = r*100+g*10+b",assignment
"- print(data)
+ ",call
"- for x in range(max(X)):
+ for x in range(1,max(X)+1):",call
"-         if x==1:
+         if x>0:
-         return f(l-1, x)
+         return f(l-1, x-1)",expression
"- 
+  
- if a >= 10 and b >= 10:
+ if a >= 10 or b >= 10:",control_flow
"- print(tot//9-1)
+ print((tot-1)//9-1)",call
"- print(x+n+sum(d//int(input()) for _ in range(n)))
+ print(x+n+sum((d-1)//int(input()) for _ in range(n)))",call
"- 
+  
- print(a // min(b,c,d,e,f) + 5)
+ print((a-1) // min(b,c,d,e,f) + 5)",call
"- a,b,c=map(int,input())
+ a,b,c=map(int,input().split())",call
-     print(ban),call
- print(l),call
-     print(nums),call
"- for i in range(N+1):
+ for i in range(1,N+1):
-   for j in range(i+1):
+   for j in range(1,i+1):",call
"- 
- print(syl)",call
"- 
-   print(word)
+   print(word + ""s"")",expression
"- if (a//k < b//k) or (k==1) or not(a%k or b%k):
+ if (a//k < b//k) or (k==1) or (not(a%k) or not(b%k)):",control_flow
"-     for i in range(N):  # intermediate point
+     for i in range(N + 1):  # intermediate point
-         for j, c2 in enumerate(dist[j][i] for j in range(N)):  #  source
+         for j, c2 in enumerate(dist[j][i] for j in range(N + 1)):  #  source
-                     
+     return dist",control_flow
"- for j in range(3):
+ for i in range(3):
- 
- ",identifier
+       exit(),call
"-     numer = reduce(mod_mul, range(n - k + 1, n + 1))
+     numer = reduce(mod_mul, range(n - k + 1, n + 1), 1)
-     denom = reduce(mod_mul, range(1, k + 1))
+     denom = reduce(mod_mul, range(1, k + 1), 1)",call
+         min = p[i],assignment
"-     ans = (ans, a)
+     ans = lcm(ans, a)",call
"- R=int(input().split())
+ R=int(input())",call
"-   if S[i] ==""R"":
+     if S[i] ==""R"":
-     ans += 1
+         ans += 1
-   else:
+     else:
-     c.append(ans)
+         c.append(ans)
-     ans = 0
+         ans = 0
+ c.append(ans)",call
+ print(count),call
"-         print(max(A[:i-1]+A[i+1:]))
+         print(max(A[:i]+A[i+1:]))",expression
"-     print(1)    
+     print(1)
- 
+     exit()
+     ",call
"- f = S.find('F')
+ f = S[c:].find('F')+c",assignment
"-             need = min((G-com)//(100*(k+1))+1,P[k]-1)
+             need = min((G-com-1)//(100*(k+1))+1,P[k]-1)",assignment
"- a,b,c = list(map(int, input()))
+ a,b,c = list(map(int, input().split()))",call
"- if A <= X and X <= B:
+ if A <= X and X <= (B+A):",control_flow
-       print(sum),call
"- print(S)
+ ",call
"- for i in range(1, count+1):
+ for i in range(1, count):",expression
"- 
+ pi = math.pi",assignment
"-   else:
-     print(""Good"")
+ print(""Good"")
-     exit()",call
+     px = nx,assignment
"+ # print(C)
- print(max(s, 1), min(8, s + C[-1]))
+ print(max(s, 1), s + C[-1])",call
"- print(d[int(n / 2) + 1] - d[int(n / 2)])
+ print(d[int(n / 2)] - d[int(n / 2) - 1])",expression
"-         memo[(n, k)] = (comb(n, k-1) * (n - k + 1) // k) % MOD
+         memo[(n, k)] = (comb(n, k-1) * (n - k + 1) // k)",expression
"-     print()
+     print(ans)",call
"- 
+  
-   ans += max(ans, s1[i] + s2[n-1-i])
+   ans = max(ans, s1[i] + s2[n-1-i])",assignment
"-     for ii in range(10):
+     for ii in range(1,10):",call
"-     print(ans)
+     print(ans + last)",expression
"- print(max(ans, counter))
+ print(max(ans, counter - 1))",expression
"- ans = [abs(a - 0.006*i) for i in h]
+ ans = [abs(a - (t - 0.006*i)) for i in h]",call
"- ans=0
+ 	ans=0
- f=5
+ 	f=5
- while f<=n:
+ 	while f<=n:
- 	ans+=n//f
+ 		ans+=n//f
- 	f*=5
+ 		f*=5
- print(ans)
+ 	print(ans)
+ else:
+ 	print(0)",call
- print(S_list),call
"-     sub += L[N-i-1]*F.comb(N+K-i-1, K-1)
+     sub += L[N-i-1]*F.comb(i, K-1)",expression
"- a=list(map(int,input().split()))
+ a=list(map(int,input().split())) 
- print(a)   
+     ",call
"- s=input();print(min(s.count(""1""),s.count(""0"")*2))
+ s=input();print(min(s.count(""1""),s.count(""0""))*2)",call
"- print(sum(D[:M-N+2])) # O(M)
+ print(sum(D[:M-N])) # O(M)",expression
"- A, B, C = map(int(),input().split())
+ A, B, C = map(int,input().split())",call
"-     A[b-1][f-1][r-1] = v
+     A[b-1][f-1][r-1] += v",assignment
"- 
- 
+             break",control_flow
"- print((mod(10,n)-mod(9,n)*2+mod(8,n)%a))
+ print(((mod(10,n)-mod(9,n)*2+mod(8,n))%a))",call
"- 
- 
+  
+  
-   print('YES' if is_575 else 'NO')
+   print('YES' if is_575(bunsetsu_list) else 'NO')",call
"-             a[i] /= 2
+             a[i] /=  2
+         cnt = 0",assignment
"-     return (x * y) // math.gcd(x, y) % mod
+     return (x * y) // math.gcd(x, y)
-     ans = (ans + num_lcm * a_[i] % mod) % mod
+     ans = (ans + num_lcm * a_[i]) % mod",expression
"- if k >= len(path_buf) - 1:
+ if k >= len(path_buf):
-     ans = path_buf[k - 1]
+     ans = path_buf[k]",expression
"-     for K, L, R in arr1:
+     for K, L, R in arr:",identifier
"-     d.append(int(input))
+     d.append(int(input()))",call
"- elif s[1]=='S':
+ elif s[1]=='S' and a==2:",control_flow
"+ # -*- coding: utf-8 -*-
- print(b[0] + b[1])
+ print(int(b[0] + b[1]/2))",call
"-             ans += math.gcd(i, gcd(j,k))
+             ans += math.gcd(i, math.gcd(j,k))",identifier
"- for _ in[0]*m:x,y=i();l[y]=l[x];c[y]+=1;c[x]-=1;l[x]=c[x]>0
+ for _ in[0]*m:x,y=i();l[y]|=l[x];c[y]+=1;c[x]-=1;l[x]=c[x]and l[x]",assignment
"- N,R = map(int,input())
+ N,R = map(int,input().split())
-   R = 100 * (10 - N)
+   R = R + 100 * (10 - N)",call
"- print(apple * 3 + peace // 2)
+ print((apple * 3 + peace) // 2)",call
"- 
- print(right - left + 1)
+ print(max(right - left + 1, 0))",call
"- for i in range(2,int(math.sqrt(n))):
+ for i in range(2,int(math.sqrt(n)+1)):",expression
